"x" "y" "Co" "Ni"
1000 0 6.84047889709473 6.35842180252075
1100 0 4.43669605255127 12.5698099136353
1200 0 2.65363359451294 15.1331729888916
1300 0 9.44429588317871 17.1731376647949
1400 0 10.0969820022583 18.7765464782715
1500 0 4.0088996887207 25.5549755096436
1600 0 10.855938911438 23.0958442687988
1700 0 3.99814200401306 19.9084663391113
1800 0 5.44375419616699 24.6076812744141
1900 0 6.88221883773804 20.0999546051025
2000 0 5.57106876373291 16.2408752441406
2100 0 7.56205081939697 15.3234281539917
2200 0 6.4817681312561 17.6087551116943
2300 0 8.89448738098145 14.0561647415161
2400 0 8.34465408325195 20.1061325073242
2500 0 9.10287475585938 14.4664182662964
2600 0 6.05848360061646 11.9973773956299
2700 0 8.40537643432617 14.1606016159058
2800 0 7.74343061447144 13.6136493682861
2900 0 9.22153759002686 15.2788934707642
3000 0 8.25490283966064 15.2937240600586
1000 100 5.1499605178833 9.70457744598389
1100 100 9.42906856536865 14.3705673217773
1200 100 4.7666220664978 12.5337352752686
1300 100 5.52261877059937 16.651403427124
1400 100 5.62157535552979 21.509204864502
1500 100 3.7229950428009 20.7725849151611
1600 100 3.59800338745117 19.2319889068604
1700 100 6.18510055541992 17.9728221893311
1800 100 7.33037424087524 20.2360801696777
1900 100 8.89366817474365 23.2270660400391
2000 100 7.73949432373047 18.5489101409912
2100 100 6.54633951187134 15.0758619308472
2200 100 10.1047334671021 19.9964389801025
2300 100 11.81809425354 19.857271194458
2400 100 11.86829662323 19.1509189605713
2500 100 11.3969192504883 16.8322143554688
2600 100 7.25584936141968 13.6668405532837
2700 100 6.62738227844238 13.0814113616943
2800 100 7.34387016296387 10.3892860412598
2900 100 6.90937328338623 10.50892162323
3000 100 8.68564701080322 10.1858415603638
1000 200 4.34982347488403 9.2224817276001
1100 200 5.81753730773926 17.3148880004883
1200 200 6.71672105789185 14.6066303253174
1300 200 5.17395687103271 15.2094745635986
1400 200 6.26589250564575 18.5764274597168
1500 200 5.35798263549805 19.5930614471436
1600 200 4.02964782714844 17.5175266265869
1700 200 5.82782173156738 17.7182102203369
1800 200 8.48035621643066 18.643726348877
1900 200 6.7686243057251 20.9621906280518
2000 200 7.05783224105835 18.7809200286865
2100 200 11.1383657455444 13.3973188400269
2200 200 12.5768241882324 14.9125471115112
2300 200 10.8619594573975 15.8411931991577
2400 200 10.9711656570435 17.6611747741699
2500 200 6.99979448318481 17.7858371734619
2600 200 4.17660331726074 17.5379734039307
2700 200 2.32548999786377 15.7558164596558
2800 200 5.38266897201538 11.9738454818726
2900 200 6.8714804649353 4.44835138320923
3000 200 4.83520412445068 9.84834384918213
1000 300 7.509934425354 14.3951959609985
1100 300 12.3474054336548 10.4636192321777
1200 300 6.82548427581787 13.0188035964966
1300 300 6.486008644104 16.4838485717773
1400 300 6.12981939315796 19.8309841156006
1500 300 3.64861845970154 18.7003974914551
1600 300 6.16246652603149 19.7405338287354
1700 300 8.30584907531738 20.6514911651611
1800 300 10.2872791290283 19.5023384094238
1900 300 4.32148885726929 17.178071975708
2000 300 6.9641432762146 15.2391414642334
2100 300 8.04395484924316 10.8742656707764
2200 300 8.54184055328369 14.1991376876831
2300 300 16.0911979675293 15.1241149902344
2400 300 10.7784519195557 17.8949890136719
2500 300 8.48501491546631 16.1054458618164
2600 300 5.30044984817505 17.6526222229004
2700 300 9.9755220413208 12.0705738067627
2800 300 5.04593992233276 7.2742600440979
2900 300 7.70951461791992 8.13711166381836
3000 300 11.4499616622925 11.0974807739258
1000 400 5.97177267074585 10.181981086731
1100 400 4.70436477661133 11.5490112304688
1200 400 5.22635889053345 11.059986114502
1300 400 1.90343534946442 12.7595462799072
1400 400 5.62795972824097 14.0073518753052
1500 400 3.43818306922913 19.3416156768799
1600 400 7.31327390670776 19.2356510162354
